1 | (32, 224, 224, 64) | (32, 224, 224, 3) | (3, 3, 3, 64) | (1, 1)
2 | (32, 224, 224, 64) | (32, 224, 224, 64) | (3, 3, 64, 64) | (1, 1)
4 | (32, 112, 112, 128) | (32, 112, 112, 64) | (3, 3, 64, 128) | (1, 1)
5 | (32, 112, 112, 128) | (32, 112, 112, 128) | (3, 3, 128, 128) | (1, 1)
7 | (32, 56, 56, 256) | (32, 56, 56, 128) | (3, 3, 128, 256) | (1, 1)
8 | (32, 56, 56, 256) | (32, 56, 56, 256) | (3, 3, 256, 256) | (1, 1)
9 | (32, 56, 56, 256) | (32, 56, 56, 256) | (3, 3, 256, 256) | (1, 1)
11 | (32, 28, 28, 512) | (32, 28, 28, 256) | (3, 3, 256, 512) | (1, 1)
12 | (32, 28, 28, 512) | (32, 28, 28, 512) | (3, 3, 512, 512) | (1, 1)
13 | (32, 28, 28, 512) | (32, 28, 28, 512) | (3, 3, 512, 512) | (1, 1)
15 | (32, 14, 14, 512) | (32, 14, 14, 512) | (3, 3, 512, 512) | (1, 1)
16 | (32, 14, 14, 512) | (32, 14, 14, 512) | (3, 3, 512, 512) | (1, 1)
17 | (32, 14, 14, 512) | (32, 14, 14, 512) | (3, 3, 512, 512) | (1, 1)
